game_name,cpu,ram,gpu,storage,os
Gary Grigsby's War in the East 2,Intel Pentium 4 1.50GHz,4 GB,ATI FireMV 2400 PCIe,4 GB,Windows 7 / 8 / 10
Mistrun,Intel Celeron,512 MB,Intel Media Accelerator 500,22 MB,Microsoft Windows
Arm Wrestling Reborn,Intel Pentium 4 4.00GHz,4 GB,NVIDIA GeForce 510,14 GB,Windows
Ultimate Tag,Intel Core i3-2100,1 GB,NVIDIA GeForce GTX 970,,Windows 7+
PLEASE COMPLY,Intel Core i7-6500U,12 GB,NVIDIA GeForce GT 520,990 MB,Windows 10 (64 bit)
AFTERLIFE: Dying to Get Back!,Intel Pentium 4 2.00GHz,1 GB,ATI FireMV 2260,600 MB,"Ubuntu 20.4, Ubuntu 18.04, and CentOS 7"
Finding You Before Spring Coming,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,400 MB,Windows 7
Apré Lapli (After the rain),Intel Core 2 Duo Q6867,8 GB,Intel HD 615,7 GB,Windows 10
兽出重围,Intel Core i5-2500K,4 GB,NVIDIA GeForce 510,,Windows 7 or later
Card Game Simulator,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Ubuntu or equivalent
ENDRAGON,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 10
Potato Party: The Potatomancer,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,450 MB,Windows 7+
Trials of Proelium,Intel Core i3-4340,4 GB,AMD Radeon HD 6250,750 MB,Microsoft® Windows® 7/8/8.1/10 (32bit/64bit)
RASKOPNIK: The Trench Warrior,Intel Core i3-350M,2 GB,NVIDIA GeForce GTX 480,500 MB,Windows 7
猫不语,Intel Core i5 750S,2 GB,NVIDIA GeForce GTX 750 Ti,2 GB,Windows 7 or greater
Card Storm Idle,Intel Atom Z515,512 MB,ATI FireGL T2-128,150 MB,Microsoft® Windows® XP / Vista / 7 / 10
THE SPIRIT LIFT,Intel Pentium 4 2.20GHz,2 GB,NVIDIA GeForce 510,,Windows 7 (64 bit)
POW POW: Dye it up!,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,,Windows 7 / 8 / 10
Star Fisher,Intel Core i7-610,300 MB,NVIDIA GeForce GTX 560,400 MB,Windows 10
See You In Desolation?,Intel Core i5-2300,4 GB,NVIDIA GeForce GTX 970,7 GB,Windows 7/8/10 (64-bit OS required)
热血屠龙,Intel Core 2 Duo E8400,512 MB,NVIDIA GeForce 510,2 GB,
Chameneon,Intel Core i3-2340UE,2 GB,NVIDIA GeForce 510,,Windows 10
Gardenia: Prologue,Intel Core i3-2340UE,6 GB,NVIDIA GeForce GTX 660,3 GB,Windows 7+
The Little Star Spirit,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows
Haunted Game,Intel Pentium 4 2.00GHz,4 MB,ATI FireGL T2-128,500 MB,Windows 7
LinearShooter Remixed,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,200 MB,Windows 7 or later
Ancient Huntsmen,Intel Core i5-6500,8 GB,NVIDIA GeForce GTX 970,2 GB,Windows 10
Herodes,Intel Pentium 4 1.70GHz,1 GB,Intel HD 3000,200 MB,64-bit Windows 7 / Windows 10
The Hungry Elevator (Alpha),Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
Kupechestvo,Intel Pentium 4 2.00GHz,400 MB,NVIDIA GeForce 510,600 MB,Windows 7 SP1+
The Last Conquerors,Intel Pentium G4500,4 GB,Intel HD 520,3 GB,Windows 7 32-bit and above
Adult Puzzles - Fantasy Ladies 2,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,200 MB,Windows XP/Vista/7/8
Conquest of Empires,Intel Core i3-4160,4 GB,Intel HD 4400,800 MB,"WINDOWS® 7, 8.1, 10 (64bit)"
Phantom Gear,Intel Core 2 Duo Q6867,4 MB,NVIDIA GeForce 7100 / nForce 630i,3 MB,"Windows 7 SP1+, 8, 10"
Consume Thy Flesh: The Pumpkin Smashing Sim,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 7100 / nForce 630i,194 MB,Windows 7 SP1+
Medieval Remembrance,Intel Core i5-4400E,8 GB,AMD Radeon RX 470,30 GB,Windows 10
The Piano That Stops Time,Intel Atom Z510,4 GB,ATI FireGL T2-128,1 GB,Ubuntu 18.04.2 LTS
Kamyla and the Scarlet Mage,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,2 GB,Windows 7
Dino Cub,Intel Core i3-2340UE,4 GB,AMD Radeon HD 5450,500 MB,Windows 7/8/10
Imitating Zombies,Intel Celeron,512 MB,Intel Media Accelerator 500,13 MB,Microsoft Windows
三国：万人敌,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,win10，win7，winxp
My Fingers!,Intel Pentium 4 2.20GHz,2 GB,ATI FireGL V7350,100 MB,Windows 7
Village defense,Intel Core 2 Duo Q6867,512 MB,ATI FireGL T2-128,182 MB,Windows 7-10
Hypnotix,Intel Atom Z515,1 GB,ATI FireMV 2400 PCIe,4 GB,Windows XP
Alien worm,Intel Celeron G530,1 GB,NVIDIA GeForce 9600 GSO,100 MB,Windows 7
Failure simulator,Intel Pentium 4 1.70GHz,512 MB,NVIDIA GeForce 510,200 MB,Windows
Xangel,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce 510,4 GB,win7
World War II: Underground,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 960,,Windows 7 / 8 / 10
The Atlas Mystery: A VR Puzzle Game,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,4 GB,Windows 10 64Bit
Arrows,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 510,100 MB,Windows 7/8
Anivenge,Intel Celeron,1 GB,ATI FireGL T2-128,50 MB,Windows 7 (SP+)
Child of Lothian,Intel Core i7-7700HQ,8 GB,NVIDIA GeForce GTX 1070,4 GB,Windows 10 x64
Die After Sunset: First Dawn,Intel Core i5-4460,8 GB,AMD Radeon HD 7790,3 GB,"Windows 7 SP1+, Windows 8 and Windows 10"
The Fabulous Fear Machine,Intel Core 2 Duo Q6867,2 GB,ATI Radeon HD 3470,5 GB,Windows 7 SP1
FORWARD: Escape the Fold,AMD Athlon MP,500 MB,NVIDIA GeForce 8500 GT,500 MB,Windows 7
Grab Toy,Intel Core i5-4400E,4 GB,NVIDIA GeForce GTX 760,800 MB,Windows 7/8/10
Hatchwell,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,2 GB,Ubuntu
Oraxum Trials,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,Windows 7/10
Storage Hunters,Intel Celeron,2 GB,Intel Media Accelerator 500,1.46 GB,Windows 10
Cats War,Intel Core i5-4400E,4 GB,ATI FireGL T2-128,400 MB,Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit
The Alternate Universe: FULL GAME!,Intel Core 2 Duo E6320,2 GB,NVIDIA GeForce 7600 GS,5 GB,Ubuntu 12.04 or later
Hot Milf,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 5450,300 MB,"Windows 8,8.1,10"
DayDream Mosaics 2: Juliette's Tale,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,350 MB,Windows 8
Final Stardust,Intel Core 2 Duo Q6867,2 GB,ATI Radeon HD 4870,,Windows 7
Maverta,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,100 MB,"Windows 7, 8, 10"
Trash Panda,Intel Core i5-4400E,16 MB,NVIDIA GeForce 510,,Windows 7
COTTON REBOOT!,Intel Core i3-530,4 GB,AMD Radeon HD 5450,4 GB,Windows® 10 64-bit
Ants Took My Eyeball,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 510,,"7, 8 or 10"
Wander Stars,Intel Core 2 Duo E8400,2 GB,AMD Radeon HD 5450,4 GB,Windows 10
The Royal Game of Ur 3D,Intel Pentium 4 2.00GHz,8 GB,NVIDIA GeForce 7100 / nForce 630i,1 GB,Windows 10 64 Bit
Void -Dementia-,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GTX 960,7 GB,Windows 7 (SP1+)/8.1/10 64bit
New York Rat Simulator,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 256,7 GB,"7, 8, 10"
Guardians of Gridvale,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,500 MB,Windows 7
Roswell's Journey,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 510,2 GB,Windows 10
Hearts 3D Premium,Intel Atom Z510,256 MB,ATI FireGL T2-128,200 MB,Windows 7 / 8 / 10 / 11
Airship Killer,Intel Core 2 Duo Q6867,1 GB,Intel Media Accelerator 500,120 MB,"Windows XP, 7, Vista, 8, 8.1, 10"
Molecoole,AMD Ryzen 7 2700X,4 GB,AMD Radeon 7000 / Radeon VE Family,200 MB,Ubuntu 20.04
Artemis,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 470,20 GB,Windows 7 or latest OS
Socialize,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 470,40 GB,64-bit Windows 7/8.1/10
Mirror Party,Intel Pentium 4 4.00GHz,8 GB,NVIDIA GeForce GTX 970,10 GB,Windows 10
Shadows: Price For Our Sins,Intel 1500,512 MB,NVIDIA GeForce 510,740 MB,Windows XP SP3 or later
Elisa Dragon Hunter,Intel Core i3-2340UE,4 GB,AMD Radeon RX 470,3 GB,Windows 7 / 8 / 8.1 / 10
Saimin Gakushū: Secret Desire,Intel Atom Z510,512 MB,ATI FireGL T2-128,2 GB,Windows 8.1 / 10
Song in the Smoke,Intel Core i5-4590,8 GB,AMD Radeon RX 480,12 GB,
Legend of Krilona,Intel Core i3-4340,4 GB,ATI FireGL V7350,1 GB,Microsoft Windows® 7/8.1/10 (64bit)
SQUID GUYS,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,4 GB,"Win 8,10"
1940,Intel Core i5-7600,8 GB,NVIDIA GeForce 7600 GT,3 GB,Window 10
Vacation Adventures: Cruise Director 5,Intel Pentium 4 2.00GHz,128 MB,NVIDIA GeForce 510,,Windows 7
Cyberpunk Fighting,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 7200 GS,150 MB,Microsoft® Windows® XP / Vista / 7 or higher
No Skirt Convenience Shop,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,2 GB,Windows 7 64bit OS
sCATch: The Painter Cat,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,250 MB,Windows 7
Showbiz Tycoon,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 7200 GS,250 MB,Windows PC 64 bits
ReTox,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,500 MB,Windows Vista or higher.
JENTRIX,Intel Core i5-7500,16 GB,NVIDIA GeForce GTX 970,4 GB,Windows 10
Momo's Mansion,Intel Core 2 Duo Q6867,4 MB,AMD Radeon HD 6250,500 MB,Microsoft Windows 7/8/8.1/10 (32bit/64bit)
Vlad Voievod Dracula. Episode 1 Manhunt,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,400 MB,Ubuntu 20.04
Vulva Goddess,Intel Pentium 4 2.00GHz,4 GB,Intel HD 4000,200 MB,"Windows XP, Vista, 7, 8/8.1, 10"
Take As Needed,Intel Pentium D 915,1 GB,ATI Radeon HD 2600 PRO,1 GB,Windows 10 x64
Chastity Catastrophe,Intel Core i5-4400E,4 GB,AMD Radeon HD 8570,1 GB,"Ubuntu 16.04, 18.04, or CentOS 7"
Swamp of Desire,Intel Atom Z515,4 GB,ATI FireGL T2-128,512 MB,WIN7 SP1/WIN8/WIN10/XP
Banished Sir,Intel Pentium 4 2.00GHz,512 MB,ATI FireGL T2-128,500 MB,Microsoft® Windows® Vista / 7 / 8/ 8.1/ 10
Aeroplane Blaster,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce GT 1030,110 MB,Windows XP\Vista\7\8\10
Tomb Keeper Mansion Deluxe Pinball,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,3 GB,Windows 7 / Windows 8 / Windows 10
Everglow,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,500 MB,Ubuntu 16.04+
Wrought Flesh,Intel Pentium 4 1.60GHz,8 GB,NVIDIA GeForce MX150,600 MB,Ubuntu 19.04
Skator Gator,Intel Core 2 Duo Q6867,4 GB,Intel Media Accelerator 500,450 MB,Windows 7
Clean Art,Intel Core i7-10750H,16 GB,NVIDIA GeForce RTX 2070,458 GB,Window 10 Home
Human vs Food,Intel Core i3-2340UE,2 GB,NVIDIA GeForce 8500 GT,500 MB,WINDOWS®  10
Tale of six,Intel Pentium 4 2.00GHz,256 MB,NVIDIA GeForce GTX 460,200 MB,Windows 7
Winning Love by Daylight [Ep 1+2],Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,500 MB,Windows 7 or newer
Math+Sticks - Coffee Break Club,Intel Core 2 Duo Q6867,4 MB,ATI FireGL T2-128,300 MB,Windows 10
Gaslamp Cases 2,Intel Atom Z510,128 MB,ATI FireGL T2-128,256 MB,Windows ME/Vista/7/8/10
Stealing a Monster Girl Harem,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,3 GB,Ubuntu 12.04+
Chaos Uproar,Intel Core i5-4590,8 GB,AMD Radeon RX 560,10 GB,Windows 7/8/10 (64-bit OS required)
LOST BUBBLES: Sweet mates,Intel Core 2 Quad Q8400,4 GB,AMD Radeon HD 7750,4 GB,Windows 7/8.1/10 (64-bit versions)
Drug Business,Intel Core i3-540,4 GB,NVIDIA GeForce GTX 660,15 GB,Windows 7
Memetric: Final Lifeforms,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce GT 730,800 MB,Windows 8.1
Blockbuster Inc.,Intel Core 2 Duo Q6867,6 GB,NVIDIA GeForce GTX 660,5 GB,Windows 7+
"Good Morning, A.I.",Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,2 GB,"SteamOS 2.0 or newer, Ubuntu 14.04 or newer, Debian 8 or la newer. Other distributions may work"
Acid Trip,Intel Pentium 4 2.00GHz,512 MB,ATI FireGL T2-128,400 MB,Windows XP
Motherland,Intel Core i3-2340UE,8 GB,NVIDIA GeForce GTX 650,12 GB,Windows 7/8/10 or better
Slumber,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce GTX 960,400 MB,Windows 7/8.1/10 (64bit)
Stella's Spikey Dream,Intel Core 2 Duo E8400,100 MB,NVIDIA GeForce 510,,Windows 10
Task Force 88: Hostile Contact,Intel Core i5-4440,8 GB,NVIDIA GeForce GTX 780 Ti,50 GB,Windows 10 or Windows 11
Tower Princess: Knight's Trial,Intel Core i3-2340UE,6 GB,NVIDIA GeForce GTX 660,6 GB,Windows 7+ / 8.1 / 10 64 bit
琴覆天下,Intel Atom Z510,1 GB,NVIDIA GeForce 7200 GS,1 GB,"windowsXP,Vista,7,8,10"
Blade Crusade,Intel Core 2 Duo Q6867,4 GB,ATI FireGL V7350,100 MB,"Windows 7, 8, 10 x64"
502's Arcade,Intel Core 2 Duo Q6867,3 GB,AMD Radeon HD 7450,1 GB,Windows 7 64 bit
Springy: A Bounce Adventure,Intel Celeron,4 GB,Intel 82845G Controller,2 GB,Windows 7 32 bits
Notoris: The Goblin War,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 770,24 GB,Windows 10 64-bit
Devorian: Left Behind,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,5 GB,Windows 7
Brave Doggy Quest,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce GT 1030,130 MB,Windows XP\Vista\7\8\10
Comixxx Duality,Intel Pentium 4 2.00GHz,4 GB,Intel HD 4600,300 MB,Windows 7 and above
问道仙途2,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GTX 1050 Ti,500 MB,Windows® 7/8/8.1/10/11
End of this World,Intel Celeron,1 GB,Intel Media Accelerator 500,110 MB,Windows 7/8.1/10
Cute Honey: Bunny Girl,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 750,5 GB,Windows7/8/10
dig,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,7
WOLF RIOT,Intel Core i3-2140,8 GB,AMD Radeon HD 5450,2 GB,Windows 7 or higher 64bit
Exquisite Ghorpse Story,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,140 MB,Windows 10
100 hidden frogs,Intel Core 2 Duo Q6867,1 GB,Intel HD 4000,15 MB,"Windows 7, 8, 10"
Chao's Collection of Random Games,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7200 GS,2 GB,Windows 7
phoToq,Intel Atom Z510,512 MB,ATI FireGL T2-128,200 MB,Windows XP
Destruction of planets,Intel Pentium 4 2.00GHz,512 MB,Intel HD 2000,150 MB,Windows XP
Jolt Project,Intel Core i5-4400E,250 MB,NVIDIA GeForce 510,202 MB,Windows 8.1
Touhou Mystery Reel,Intel Core i3-2100,4 GB,NVIDIA GeForce GTX 650,200 MB,Windows7
万界之门,Intel Core 2 Duo Q6867,2 GB,Intel HD 4600,3 GB,Windows 7 (64 bit)
Railway Islands - Puzzle,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,500 MB,Windows 7/8/10
Fatal Paws,Intel Pentium 4 1.50GHz,1 GB,ATI FireGL T2-128,500 MB,Microsoft Windows Vista / 7 / 8 / 10 / 11
Love with Furry ?,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,1 GB,Windows XP/Vista/7/8/10
魔界堕ちのラズリエル -Lazriel the Demon's Fall-,Intel Core i5-4400E,2 GB,Intel HD 4000,500 MB,Windows 7 or newer
Wild Pussies,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 5450,300 MB,"Windows 8,8.1,10"
Hot Milf 2,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon HD 5450,300 MB,"Windows 8,8.1,10"
Comixxx Jixxaw,Intel Pentium 4 2.00GHz,4 GB,Intel HD 4600,300 MB,Windows 7 and above
Turnament,Intel Pentium 4 2.00GHz,500 MB,NVIDIA GeForce 7100 / nForce 630i,700 MB,Windows 7 (SP1+) and Windows 10
SQUIDS,Intel Pentium 4 4.00GHz,4 GB,Intel HD 4600,1 GB,Linux
Grim Road,Intel Core i3-2340UE,2 GB,ATI FireGL T2-128,200 MB,Windows 10
Duel Corp.,Intel Core 2 Duo Q6867,1.95 GB,ATI FireGL T2-128,500 MB,Windows 10
Brooke Vs. World Doom,Intel Pentium 4 4.00GHz,4 GB,NVIDIA GeForce 510,2 GB,Windows 7 / Windows 8 / Windows 10 64-bit only
Jumphobia: Homeward Bound,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,750 MB,Windows 7 or above
Recollection,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 510,250 MB,Windows 7 (SP1+) / 10 / 11
Equinox,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,300 MB,Windows 7 or newer
Sunny Beach Dolls,Intel Core i7-6700K,1 GB,NVIDIA GeForce GTX 780,3 GB,windows 7/8/10
Lawnmower Game: Pinball,Intel Core i3-2340UE,2 GB,ATI FireGL T2-128,600 MB,windows 8
ShapeShifter,Intel Core i3-330E,2 GB,NVIDIA GeForce GTX 950,200 MB,Windows 7 or higher
Gimle: Archlikvake Saga,Intel Core i3-2100T,4 GB,AMD Radeon HD 6850,15 GB,"Windows 7 64-Bit, Windows 8.1 64-Bit, Windows 10 64-Bit"
Crystarise,Intel Core 2 Duo E8400,8 GB,NVIDIA GeForce 510,1 GB,Windows 10
Sidequest,Intel Core 2 Duo Q6867,2 GB,AMD Radeon HD 6250,1 GB,WindowsR 7/8/8.1/10 (32bit/64bit)
The Netrunner Awaken1ng,Intel Core i5-4400E,4 GB,AMD Radeon RX 560,500 MB,Windows 7
Purvis Beer VR,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,1 GB,Windows 7/8.1/10
Blocktopia,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,1 GB,
Our Mother's house,Intel Core 2 Duo Q6867,4 GB,ATI Radeon HD 4850,350 MB,Windows 10
Sprocket Wings,Intel Core i5-3470,8 GB,AMD Radeon R9 390X,5 GB,Windows 10 x64
AB AETERNO,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 1070,5 GB,Windows 10
Garbage Crew!,Intel Core i3-2100,2 GB,ATI Radeon HD 4850,2 GB,Windows 7 64bit
Hyper Catch,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 2600 XT,,Ubuntu 12.04
Pulsar Crash,Intel Core i5-4400E,4 GB,Intel HD 520,3 GB,Windows 10
Zombie Maze,Intel Core i5-4400E,4 GB,ATI FireGL T2-128,500 MB,Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit
Space Waves,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,250 MB,Windows 7 or Above
Big Hops,Intel Core i5-650,4 GB,NVIDIA GeForce GTX 1060,3 GB,Windows 7
Hentai Neko Mosaic!,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 8500 GT,3 GB,WINDOWS® 7 / 8.1 / 10
Jo-Jo Fighter,Intel Celeron,512 MB,Intel Media Accelerator 500,147 MB,Microsoft Windows
Slot Idler,Intel Core i5-4400E,1 GB,NVIDIA GeForce 510,100 MB,Windows 10
Bard Idle,Intel Pentium 4 2.00GHz,512 MB,ATI FireGL T2-128,50 MB,"Windows XP, Vista, 7, 8, or 10"
经典象棋,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce 510,160 MB,windows 10+
Neo Spectrum,Intel Core i3-2340UE,2 GB,Intel Media Accelerator 500,100 MB,Windows 7 or higher
Escape Covid Camp,Intel Core i5-2500K,2 GB,NVIDIA GeForce 256,300 MB,Windows 7/8/10 64 Bit
Lemon vs. Teddy,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,,Windows 7
Legend of Utorepia,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,36 MB,Windows® 7/8/8.1/10
Passin'Time,AMD FX-8350,4 GB,NVIDIA GeForce GTX 960,1.17 GB,Windows 7/8.1/10 (64bit)
Memory Grove,Intel Core 2 Duo Q6867,8 GB,AMD Radeon R7 260X,3 GB,Windows 10
Guidance,Intel Core i5-2300,8 GB,AMD Radeon HD 6770,4 GB,Windows 7/8.1/10 64-bit
Darkness Inside,Intel Core i3-2340UE,4 GB,AMD Radeon HD 5450,1 GB,"Windows 7,8.1 or 10(64 Bit)"
GunRunner,Intel Atom Z510,1 GB,NVIDIA GeForce 7100 / nForce 630i,200 MB,Windows 10
魂之乡,Intel Core i3-2340UE,2 GB,NVIDIA GeForce GTX 1050,2 GB,10 / 7 / 8
Kingdoms Conquer / 攻城天下,Intel Core i3-2340UE,2 GB,ATI FireGL V7350,2 GB,Windows 7-10
THE SPRITE TRIALS,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 510,100 MB,Windows 7 or newer
Hello Goodboy,Intel Core i5 750S,4 GB,Intel HD 4000,,WIndows 8.1
山：临界幸存者,Intel Pentium 4 1.60GHz,1 GB,ATI FireGL T2-128,700 MB,Windows Vista/7/8/10
PCI Public Crime Investigation,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,300 MB,Windows 7 64-bit
Slot Factory Create and Play - Magic Brewery,Intel Pentium 4 2.00GHz,4 MB,ATI FireGL T2-128,200 MB,"Windows 7,8,10 32 bit"
Where is He,Intel Core i5-4400E,6 GB,NVIDIA GeForce GTX 950,8 GB,Windows 10
In The Line Of My Heart,Intel Celeron 847,50 MB,NVIDIA GeForce 510,10 MB,Windows XP/Vista/7
Ball Way Crush Color Tower 3d,Intel Pentium 4 4.00GHz,16 GB,Intel Media Accelerator 500,1.5 GB,10.12
Territory - animals genetic strategy,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,800 MB,Any with support of Java16+
Impower,Intel Core i5-4400E,4 GB,NVIDIA GeForce 205,1 GB,"Windows Vista, 7, 8/8.1, 10"
Thrive: Heavy Lies The Crown,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 660,5 GB,Windows 10
Retrieving The Past Steam EDITION,Intel Core 2 Duo Q6867,1.95 GB,ATI FireGL T2-128,5.86 GB,Windows 7
DUBIUM,Intel Core i3-9100F,8 GB,NVIDIA GeForce GTX 750,10 GB,"Window 7, Window 8.1, Window 10 (64bit)"
WTC : Relentless Protagonist [SxS],Intel Core 2 Duo Q6867,2 GB,ATI FireMV 2260,2 GB,Ubuntu 16.04+
Cyber Puzzle HackRow,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 7 or Higher
Jumping Man: Mine,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 510,200 MB,Windows 7
Yui Tui,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,50 MB,"Windows XP, Vista, 7, 8/8.1, 10, 11"
Sacred Valley,Intel Core i3-2340UE,8 GB,NVIDIA GeForce 256,2 GB,Windows 7
Alpha Shark,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GTX 560,3 GB,Windows 7 or 10
Ghostkin Capers,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 9800 GTX+,4 GB,Windows 7
Huntress: The cursed Village,Intel Pentium 4 1.50GHz,512 MB,ATI FireMV 2400 PCIe,300 MB,Windows ME / 7 / 8 / 10
Fableforge,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,1 GB,TBD
Sixtar Gate: STARTRAIL,Intel Core 2 Duo E6750,4 GB,AMD Radeon HD 6670,3 GB,Windows 10
Devil's Dungeon,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 510,3 GB,Windows7/8/10
SpaceGaze,Intel Celeron,1 GB,Intel Media Accelerator 500,30 MB,Windows 7/8.1/10
十三月のふたり姫／The 13th month,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL V7350,4 GB,Windows 10
Haunting on Howard Hill,Intel Core i5-2400,8 GB,NVIDIA GeForce GTX 660,40 GB,Windows 7/8.1/10 (64-bit versions)
Fruit Night Fair,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,200 MB,Windows 7/8/10
Royal Commando,Intel Core 2 Duo Q6867,2 GB,ATI Radeon HD 4850,5 GB,
God Damn The Garden,Intel Atom Z510,2 GB,NVIDIA GeForce GT 630M,500 MB,Windows 7
Traffic Racing,Intel Core 2 Duo E6320,1 GB,ATI FireGL T2-128,50 MB,Windows 7/8.1/10
HIGHBLAST,Intel Core 2 Duo E6320,2 GB,NVIDIA GeForce 7600 GS,512 MB,Ubuntu 12.04 or later
Arcade Galaxy,Intel Celeron G530,1 GB,NVIDIA GeForce 9600 GSO,25 MB,Windows 7; 8; 10
与芙兰朵露一起捉迷藏吧,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 6250,1 GB,Windows® 7/8/8.1/10
Russian Drunken Boxers 2,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,150 MB,Windows 7/8.1/10
Galaxy Citizen,Intel Core i3-3217UE,8 GB,NVIDIA GeForce GT 710,40 GB,Window 10 or later
Ruin or Victory,Intel Pentium 4 2.00GHz,4 GB,NVIDIA GeForce GTX 950,2 GB,Windows 10 64-bit
May God Forgive Us,Intel Core i5-6600K,4 GB,NVIDIA GeForce GTX 1070,10 GB,windows 10
Date of death: origin,Intel Core i5-4400E,8 GB,NVIDIA GeForce GTX 750 Ti,19 GB,win7/10
全托教师,Intel Core i3-8100,2 GB,NVIDIA GeForce 510,1 GB,win 7
