game_name,cpu,ram,gpu,storage,os
18层,Intel Celeron 1037U,12 GB,NVIDIA GeForce GTX 1050,22 GB,Windows 7 64-bit or newer
Binary Run,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 9800 GT,1 GB,Windows 7 64-bit or later
SafeGuard,Intel Core i3-2340UE,4 GB,NVIDIA GeForce GTX 750 Ti,5 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Vampiric Crown,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 780,20 GB,Windows 10 64-bits
Shooting Covid,Intel Core i3-8300,8 GB,NVIDIA GeForce GTX 1050,1 GB,Windows 8.1 64-bit or Windows 10 64-bit
Lost In The Space,Intel Core i5-4302Y,4 GB,NVIDIA GeForce GT 555M,300 MB,Windows 7+
Twilight's Final Judgement,Intel Core 2 Duo Q6867,8 GB,AMD Radeon RX 480,2 GB,"Windows 10, SteamOS, Linux"
Psycho Crab,Intel Pentium 4 4.00GHz,2 GB,NVIDIA GeForce 510,1 GB,Windows 7
DreamPusher,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows10
Robot-X,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,500 MB,windows 7 (probably)
ARACNIDIUM,Intel Pentium 4 1.70GHz,2 GB,NVIDIA GeForce 7200 GS,,"7, VISTA, XP, 8, 9 e 10"
Stay away from zombies,Intel Core i3-2340UE,4 GB,Intel Media Accelerator 500,900 MB,"Windows XP, 7, Vista, 8, 8.1, 10"
Cute Lands - Puzzle Game,Intel Core i5-650,4 GB,NVIDIA GeForce GTX 770,1 GB,Microsoft® Windows® 10
Time's Crest,Intel Pentium 4 2.00GHz,2 GB,AMD Radeon HD 6250,450 MB,"Windows 7, 8, 10"
Part of You,Intel Core 2 Duo E8400,4 GB,AMD Radeon HD 7870,4 GB,Windows 7
Smudge Coin Run,Intel Core i3-2340UE,2 GB,AMD Radeon HD 6850,2 GB,Windows 10 (64-bit)
Meiro Master,Intel Core i5-2300,8 GB,AMD Radeon R7 360,10 GB,Windows 10
A Factory Job,Intel Core 2 Quad Q9705,8 GB,AMD Radeon R7 240,1 GB,Windows 7+
Laruaville 12,Intel Pentium 4 1.60GHz,1 MB,ATI FireGL T2-128,160 MB,"Windows XP, Vista, 8, 8.1, 10, 11"
Humans vs Tigers,Intel Core 2 Duo Q6867,1 GB,Intel Media Accelerator 500,110 MB,Windows 7
Strongloween: The Escape,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 470,7 GB,64-bit Windows 7/8.1/10
Venus,Intel Pentium 4 2.00GHz,16 GB,NVIDIA GeForce GTX 1060,12 GB,Windows 10
Valley Dash,Intel Core 2 Duo E8400,250 MB,NVIDIA GeForce 510,350 MB,Windows 7
Malicious Reload,Intel Atom Z515,4 MB,ATI FireGL T2-128,512 MB,WIN7 SP1/WIN8/WIN10/XP
Summer With You,Intel Xeon E5-2640,4 GB,Intel Media Accelerator 500,1 GB,Ubuntu 9 or higher
Immortal Love: True Treasure Collector's Edition,Intel Pentium 4 1.80GHz,1 GB,NVIDIA GeForce 510,1.64 GB,Windows 7 / Windows 8 / Windows 10
Art of Stunt,Intel Core 2 Duo Q6867,8 GB,NVIDIA GeForce 7100 / nForce 630i,800 MB,Ubuntu 12.04+
Armored Firestorm,Intel Core i5-3230M,4 GB,AMD Radeon 540,3 GB,"Windows 7 - 64Bits , x64"
Ultimate Super Bean,Intel Core i3-3210,1 GB,Intel HD 4000,2 GB,Windows 7
Koncolos,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 7100 / nForce 630i,1 GB,Windows 7
Reversilly,Intel Core i7-6700HQ,8 GB,NVIDIA GeForce GTX 965M,350 MB,Windows10
Aim Climb,Intel Core i3-2340UE,4 GB,NVIDIA GeForce 510,300 MB,
Pls Kill it.,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,windows 10
Kapellmeister,Intel Pentium 4 2.00GHz,4 GB,AMD Radeon RX 460,3 GB,Windows 10 64-bit
The Villa of Death,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,Windows 7
Note Brawl,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 7200 GS,5 GB,Windows XP/Vista/7/8 or 10
Silverblood,Intel Core i5-4400E,4 GB,NVIDIA GeForce 7100 / nForce 630i,10 GB,Windows 7/8
Zruce Adventures,Intel Core 2 Duo Q6867,4 GB,Intel HD 520,10 GB,Windows 7
One Of The Victims,Intel Core i5-4400E,2 GB,AMD Radeon HD 5450,2 GB,windows 8
Mare,Intel Core i5-7500,8 GB,NVIDIA GeForce GTX 1060,,Windows 10
Green Alert,Intel Core 2 Duo Q6867,1 GB,ATI FireMV 2400 PCIe,180 MB,"Windows 7, 8, 8.1, 10"
I AM BUTTER,Intel Core i5-4590,4 GB,NVIDIA GeForce GT 1030,5 GB,Windows 7/8.1/10 (64bit)
Islands of the Caliph,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,500 MB,"Windows XP / Vista / Win 7 / Win 8 / Server 2008 / Server 2012, 32 Bit or 64 Bit"
Shinogi Chess Club,Intel Core i5-4400E,4 GB,NVIDIA GeForce 820M,5 GB,Ubuntu 18.04+
Pwnk,Intel Core i5-650,4 GB,NVIDIA GeForce GTX 660,1 GB,Requires a 64-bit processor and operating system
Cool Kid Cody,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,400 MB,Ubuntu 14.04 or later
Tokyo Onmyoji -The Tale of Rei Tengenjibashi-,Intel Core i3-2340UE,512 MB,NVIDIA GeForce 510,9 GB,Windows 10 (64 bit)
Fireteam,Intel Core i3-2340UE,4 GB,ATI Radeon HD 4850,15 GB,"Windows 7,8,10 64-bit"
Einherjar,Intel Pentium 4 2.00GHz,6 GB,ATI Radeon HD 5850,3 GB,"Windows 7, 64 bit"
Strangest.io's My Megamix '21,Intel Pentium 4 2.00GHz,1 GB,NVIDIA GeForce 7100 / nForce 630i,2 GB,Windows 7/8/10
Kombinera,Intel Core Duo U2500,2 GB,NVIDIA GeForce 7200 GS,,SteamOS or Ubuntu 12.04+
I AM BUTTER VR,Intel Core i5-4590,4 GB,NVIDIA GeForce GT 1030,5 GB,Windows 7/8.1/10 (64bit)
MedaAbi,Intel Core 2 Duo E8400,1 GB,ATI FireGL T2-128,,Windows10、8、7、Vista、XP
13:ORIGIN - Chapter One,Intel Core 2 Duo Q6867,4 GB,ATI FireGL V7350,,Windows 7 or higher
Crumbling,Intel Core i5-4590,8 GB,AMD Radeon R9 280,,Windows 7 or newer
Time Keeper,Intel Pentium 4 2.00GHz,4 GB,Intel Media Accelerator 500,3 GB,Windows 7 (64-bit OS required)
ONCE IN MY HEAD,Intel Core i3-2340UE,6 GB,NVIDIA GeForce GTX 780,10 GB,Windows 7 x64
Hovercars 3077: Underground racing,Intel Core i5-4400E,4 GB,NVIDIA GeForce 7200 GS,11 GB,Linux 64 bit
Froggo Swing 'n Grapple,Intel Core i3-2340UE,2 GB,NVIDIA GeForce 510,350 MB,Windows 10
TowersRTS,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce 510,100 MB,Ubuntu/SteamOS
Out of Order,Intel Core 2 Duo E8400,2 GB,NVIDIA GeForce 510,500 MB,Windows 7
10K & The Kriminal World - Sammy's Attack,Intel Pentium 4 2.00GHz,2 GB,ATI FireMV 2400 PCIe,16 GB,Windows 7 or 10
Neophyte,Intel Core i3-2340UE,4 GB,Intel HD 4000,120 MB,Windows 7 or above (x64)
Night Janitor,Intel Core i7-4770K,16 GB,NVIDIA GeForce GTX 770,2 GB,"Windows 8.1 Pro, Windows 10"
Money Run,Intel Core i3-330M,8 GB,Intel Media Accelerator HD,300 MB,Windows 10
Dimensional Drift,Intel Core i5-4400E,4 GB,AMD Radeon RX 570,,SteamOS 3 or Ubuntu 16
The Ambassador's Coterie,Intel Pentium 4 2.00GHz,1 GB,ATI FireGL T2-128,150 MB,Windows 7+
SKD,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 980,1 GB,Win7
Voxquest: The Firebird,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,120 MB,10
Riki's Risky Ride,Intel Core i3-6100,4 GB,AMD Radeon HD 7870,500 MB,"Windows 7, Windows 10"
Pretty Girl Shooting Story,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,500 MB,7/8/10
Succubus Puzzle,Intel Core i3-2340UE,1 GB,NVIDIA GeForce 510,1 GB,7/8/10
GoodNight,Intel Core i3-2340UE,6 GB,AMD Radeon HD 6850,5 GB,"Windows 7, 8, 10 64-bit"
Eloquent Countenance,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,650 MB,Windows 7 / 8 / 8.1 / 10
Sahara's Underworld,Intel Core i5-4400E,4 GB,Intel HD Graphics 620,1 GB,Windows 7 64-Bit
Lord of the Click 3,Intel Atom Z510,1 GB,ATI FireMV 2200 PCIe,110 MB,Windows XP SP3+ or higher
The Finnish War,Intel Core 2 Duo E8400,184 MB,NVIDIA GeForce 510,,"Windows Vista, 7, 8, 8.1"
Penny for Your Thoughts,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,3 GB,Windows XP or higher
SpectrumGames,Intel Core i3-2100,4 GB,NVIDIA GeForce 510,2 GB,Windows 10
Bacterial edge,Intel Core i3-2340UE,4 GB,ATI FireGL T2-128,,win7 win10
Lord of Fire & Ice,Intel Core 2 Duo E8400,4 GB,ATI FireGL T2-128,700 MB,Windows 10
